Category,Upper Tier Local Authority,Region,Total,Total reached,Percentage reached
People transferred to contact tracing system,Swindon,South West,786,675,86
People transferred to contact tracing system,Torbay,South West,100,89,89
People transferred to contact tracing system,Wiltshire,South West,527,446,85
People transferred to contact tracing system,Birmingham,West Midlands,7623,5065,66
People transferred to contact tracing system,Coventry,West Midlands,1216,969,80
People transferred to contact tracing system,Dudley,West Midlands,746,612,82
People transferred to contact tracing system,"Herefordshire, County of",West Midlands,337,190,56
People transferred to contact tracing system,Sandwell,West Midlands,1883,1342,71
People transferred to contact tracing system,Shropshire,West Midlands,720,623,87
People transferred to contact tracing system,Solihull,West Midlands,884,705,80
People transferred to contact tracing system,Staffordshire,West Midlands,2124,1505,71
People transferred to contact tracing system,Stoke-on-Trent,West Midlands,971,756,78
People transferred to contact tracing system,Telford and Wrekin,West Midlands,354,282,80
People transferred to contact tracing system,Walsall,West Midlands,982,550,56
People transferred to contact tracing system,Warwickshire,West Midlands,1368,1139,83
People transferred to contact tracing system,Wolverhampton,West Midlands,1044,807,77
People transferred to contact tracing system,Worcestershire,West Midlands,1148,945,82
People transferred to contact tracing system,Barnsley,Yorkshire and Humber,1229,1035,84
People transferred to contact tracing system,Bradford,Yorkshire and Humber,6539,4735,72
People transferred to contact tracing system,Calderdale,Yorkshire and Humber,1241,1035,83
People transferred to contact tracing system,Doncaster,Yorkshire and Humber,1068,860,81
People transferred to contact tracing system,East Riding of Yorkshire,Yorkshire and Humber,711,594,84
People transferred to contact tracing system,"Kingston upon Hull, City of",Yorkshire and Humber,520,428,82
People transferred to contact tracing system,Kirklees,Yorkshire and Humber,3147,2451,78
People transferred to contact tracing system,Leeds,Yorkshire and Humber,5022,3993,80
People transferred to contact tracing system,North East Lincolnshire,Yorkshire and Humber,163,138,85
People transferred to contact tracing system,North Lincolnshire,Yorkshire and Humber,307,256,83
People transferred to contact tracing system,North Yorkshire,Yorkshire and Humber,1572,1342,85
People transferred to contact tracing system,Rotherham,Yorkshire and Humber,1419,1126,79
People transferred to contact tracing system,Sheffield,Yorkshire and Humber,3247,2461,76
People transferred to contact tracing system,Wakefield,Yorkshire and Humber,1504,1234,82
People transferred to contact tracing system,York,Yorkshire and Humber,474,392,83
People transferred to contact tracing system,Unknown,Unknown,1672,555,33
Non-complex close contacts identified,Derby,East Midlands,1747,1127,65
Non-complex close contacts identified,Derbyshire,East Midlands,4409,3038,69
Non-complex close contacts identified,Leicester,East Midlands,12662,6800,54
Non-complex close contacts identified,Leicestershire,East Midlands,6555,4214,64
Non-complex close contacts identified,Lincolnshire,East Midlands,3213,2127,66
Non-complex close contacts identified,Northamptonshire,East Midlands,6032,3763,62
Non-complex close contacts identified,Nottingham,East Midlands,2787,1720,62
Non-complex close contacts identified,Nottinghamshire,East Midlands,4946,3150,64
Non-complex close contacts identified,Rutland,East Midlands,174,126,72
Non-complex close contacts identified,Bedford,East of England,1260,755,60
Non-complex close contacts identified,Cambridgeshire,East of England,2067,1375,67
Non-complex close contacts identified,Central Bedfordshire,East of England,1234,854,69
Non-complex close contacts identified,Essex,East of England,4966,3391,68
Non-complex close contacts identified,Hertfordshire,East of England,5714,3754,66
Non-complex close contacts identified,Luton,East of England,2816,1467,52
Non-complex close contacts identified,Milton Keynes,East of England,1050,672,64
Non-complex close contacts identified,Norfolk,East of England,1986,1295,65
Non-complex close contacts identified,Peterborough,East of England,2084,1034,50
Non-complex close contacts identified,Southend-on-Sea,East of England,761,490,64
Non-complex close contacts identified,Suffolk,East of England,1494,978,65
Non-complex close contacts identified,Thurrock,East of England,691,428,62
Non-complex close contacts identified,Barking and Dagenham,London,1385,792,57
Non-complex close contacts identified,Barnet,London,1981,1263,64
Non-complex close contacts identified,Bexley,London,970,654,67
Non-complex close contacts identified,Brent,London,1608,977,61
Non-complex close contacts identified,Bromley,London,1195,771,65
Non-complex close contacts identified,Camden,London,944,612,65
Non-complex close contacts identified,City of London & Hackney,London,1816,951,52
Non-complex close contacts identified,Croydon,London,1444,923,64
Non-complex close contacts identified,Ealing,London,1985,1284,65
Non-complex close contacts identified,Enfield,London,1571,975,62
Non-complex close contacts identified,Greenwich,London,1102,732,66
Non-complex close contacts identified,Hammersmith and Fulham,London,913,656,72
Non-complex close contacts identified,Haringey,London,1425,870,61
Non-complex close contacts identified,Harrow,London,1398,897,64
Non-complex close contacts identified,Havering,London,1751,1110,63
Non-complex close contacts identified,Hillingdon,London,1902,1127,59
Non-complex close contacts identified,Hounslow,London,1678,997,59
Non-complex close contacts identified,Islington,London,1073,730,68
Non-complex close contacts identified,Kensington and Chelsea,London,597,402,67
Non-complex close contacts identified,Kingston upon Thames,London,772,508,66
Non-complex close contacts identified,Lambeth,London,1536,1122,73
Non-complex close contacts identified,Lewisham,London,1116,709,64
Non-complex close contacts identified,Merton,London,763,524,69
Non-complex close contacts identified,Newham,London,1540,887,58
Non-complex close contacts identified,Redbridge,London,2129,1224,57
Non-complex close contacts identified,Richmond upon Thames,London,1030,706,69
Non-complex close contacts identified,Southwark,London,1296,861,66
Non-complex close contacts identified,Sutton,London,686,466,68
Non-complex close contacts identified,Tower Hamlets,London,1848,1112,60
Non-complex close contacts identified,Waltham Forest,London,1451,859,59
Non-complex close contacts identified,Wandsworth,London,1933,1368,71
Non-complex close contacts identified,Westminster,London,884,563,64
Non-complex close contacts identified,County Durham,North East,4561,3086,68
Non-complex close contacts identified,Darlington,North East,636,406,64
Non-complex close contacts identified,Gateshead,North East,2874,1940,68
Non-complex close contacts identified,Hartlepool,North East,1269,859,68
Non-complex close contacts identified,Middlesbrough,North East,1667,1023,61
Non-complex close contacts identified,Newcastle upon Tyne,North East,6066,3907,64
Non-complex close contacts identified,North Tyneside,North East,2363,1682,71
Non-complex close contacts identified,Northumberland,North East,3381,2341,69
Non-complex close contacts identified,Redcar and Cleveland,North East,1013,698,69
Non-complex close contacts identified,South Tyneside,North East,2723,1836,67
Non-complex close contacts identified,Stockton-on-Tees,North East,1787,1182,66
Non-complex close contacts identified,Sunderland,North East,4293,2860,67
Non-complex close contacts identified,Blackburn with Darwen,North West,5298,2641,50
Non-complex close contacts identified,Blackpool,North West,1268,803,63
Non-complex close contacts identified,Bolton,North West,6385,3619,57
Non-complex close contacts identified,Bury,North West,3253,1879,58
Non-complex close contacts identified,Cheshire East,North West,2807,1907,68
Non-complex close contacts identified,Cheshire West and Chester,North West,2947,2056,70
Non-complex close contacts identified,Cumbria,North West,2645,1753,66
Non-complex close contacts identified,Halton,North West,2016,1267,63
Non-complex close contacts identified,Knowsley,North West,2839,1804,64
Non-complex close contacts identified,Lancashire,North West,16600,9729,59
Non-complex close contacts identified,Liverpool,North West,10002,6344,63
Non-complex close contacts identified,Manchester,North West,13183,7359,56
Non-complex close contacts identified,Oldham,North West,7761,4021,52
Non-complex close contacts identified,Rochdale,North West,5578,3140,56
Non-complex close contacts identified,Salford,North West,4491,2766,62
Non-complex close contacts identified,Sefton,North West,3684,2417,66
Non-complex close contacts identified,St. Helens,North West,3058,1940,63
Non-complex close contacts identified,Stockport,North West,3113,1970,63
Non-complex close contacts identified,Tameside,North West,3558,2129,60
Non-complex close contacts identified,Trafford,North West,2844,1738,61
Non-complex close contacts identified,Warrington,North West,3371,2257,67
Non-complex close contacts identified,Wigan,North West,3352,2136,64
Non-complex close contacts identified,Wirral,North West,5516,3666,66
Non-complex close contacts identified,Bracknell Forest,South East,548,375,68
Non-complex close contacts identified,Brighton and Hove,South East,1343,931,69
Non-complex close contacts identified,Buckinghamshire,South East,2320,1514,65
Non-complex close contacts identified,East Sussex,South East,1624,1087,67
Non-complex close contacts identified,Hampshire,South East,3800,2703,71
Non-complex close contacts identified,Isle of Wight,South East,161,102,63
Non-complex close contacts identified,Kent,South East,6360,4080,64
Non-complex close contacts identified,Medway,South East,813,543,67
Non-complex close contacts identified,Oxfordshire,South East,3360,2140,64
Non-complex close contacts identified,Portsmouth,South East,470,332,71
Non-complex close contacts identified,Reading,South East,617,417,68
Non-complex close contacts identified,Slough,South East,891,521,58
Non-complex close contacts identified,Southampton,South East,770,468,61
Non-complex close contacts identified,Surrey,South East,4696,3102,66
Non-complex close contacts identified,West Berkshire,South East,433,296,68
Non-complex close contacts identified,West Sussex,South East,3063,2092,68
Non-complex close contacts identified,Windsor and Maidenhead,South East,689,453,66
Non-complex close contacts identified,Wokingham,South East,581,403,69
Non-complex close contacts identified,Bath and North East Somerset,South West,828,608,73
Non-complex close contacts identified,"Bournemouth, Christchurch and Poole",South West,1332,913,69
Non-complex close contacts identified,"Bristol, City of",South West,1989,1273,64
Non-complex close contacts identified,Cornwall & Isles of Scilly,South West,1081,744,69
Non-complex close contacts identified,Devon,South West,1999,1337,67
Non-complex close contacts identified,Dorset,South West,809,560,69
Non-complex close contacts identified,Gloucestershire,South West,1801,1237,69
Non-complex close contacts identified,North Somerset,South West,915,610,67
Non-complex close contacts identified,Plymouth,South West,930,643,69
Non-complex close contacts identified,Somerset,South West,1123,755,67
Non-complex close contacts identified,South Gloucestershire,South West,1052,728,69
Non-complex close contacts identified,Swindon,South West,2124,1285,60
Non-complex close contacts identified,Torbay,South West,359,234,65
Non-complex close contacts identified,Wiltshire,South West,1235,846,69
Non-complex close contacts identified,Birmingham,West Midlands,15621,8288,53
Non-complex close contacts identified,Coventry,West Midlands,3114,1902,61
Non-complex close contacts identified,Dudley,West Midlands,1899,1238,65
Non-complex close contacts identified,"Herefordshire, County of",West Midlands,551,362,66
Non-complex close contacts identified,Sandwell,West Midlands,4233,2403,57
Non-complex close contacts identified,Shropshire,West Midlands,1559,998,64
Non-complex close contacts identified,Solihull,West Midlands,2379,1487,63
Non-complex close contacts identified,Staffordshire,West Midlands,4454,2925,66
Non-complex close contacts identified,Stoke-on-Trent,West Midlands,2172,1262,58
Non-complex close contacts identified,Telford and Wrekin,West Midlands,883,541,61
Non-complex close contacts identified,Walsall,West Midlands,1794,1136,63
Non-complex close contacts identified,Warwickshire,West Midlands,3601,2469,69
Non-complex close contacts identified,Wolverhampton,West Midlands,2463,1388,56
Non-complex close contacts identified,Worcestershire,West Midlands,2929,1944,66
Non-complex close contacts identified,Barnsley,Yorkshire and Humber,2648,1691,64
Non-complex close contacts identified,Bradford,Yorkshire and Humber,15624,7462,48
Non-complex close contacts identified,Calderdale,Yorkshire and Humber,3140,1758,56
Non-complex close contacts identified,Doncaster,Yorkshire and Humber,2444,1526,62
Non-complex close contacts identified,East Riding of Yorkshire,Yorkshire and Humber,1587,1060,67
Non-complex close contacts identified,"Kingston upon Hull, City of",Yorkshire and Humber,1033,624,60
Non-complex close contacts identified,Kirklees,Yorkshire and Humber,7418,4064,55
Non-complex close contacts identified,Leeds,Yorkshire and Humber,12799,7839,61
Non-complex close contacts identified,North East Lincolnshire,Yorkshire and Humber,495,332,67
Non-complex close contacts identified,North Lincolnshire,Yorkshire and Humber,780,553,71
Non-complex close contacts identified,North Yorkshire,Yorkshire and Humber,3941,2624,67
Non-complex close contacts identified,Rotherham,Yorkshire and Humber,3491,2176,62
Non-complex close contacts identified,Sheffield,Yorkshire and Humber,7809,4659,60
Non-complex close contacts identified,Wakefield,Yorkshire and Humber,3577,2220,62
Non-complex close contacts identified,York,Yorkshire and Humber,1295,891,69
Non-complex close contacts identified,Unknown,Unknown,1840,463,25
